The Shawshank Redemption;Drama;1994;Frank Darabont;0;
Schindler�s List;Biography,Drama,History;1993;Steven Spielberg;7;
Raging Bull;Biography,Drama,Sport;1980;Martin Scorsese;2;
Casablanca;Drama,Romance,War;1942;Michael Curtiz;3;
Citizen Kane;Drama,Mistery;1941;Orson Welles;1;
Gone with the Wind;Drama,History,Romance;1939;Victor Fleming;8;
The Wizard of Oz;Adventure,Family,Fantasy;1939;Victor Fleming;2;
Forrest Gump;Comedy,Drama,Romance;1994;Robert Zemeckis;6;
The Sound of Music;Biography,Drama,Family;1965;Robert Wise;5;
Star Wars;Action, Adventure,Fantasy;1977;George Lucas;6;
E.T. the Extra-Terrestrial;Sci-Fi,Family;1982;Steven Spielberg;4;
The Silence of the Lambs;Crime, Drama,Thriller;1991;Jonathan Demme;5;
The Lord of the Rings:The Return of the King;Adventure,Drama,Fantasy;2003;Peter Jackson;11;
Gladiator;Action,Adventure,Drama;2000;Ridley Scott;5;
Saving Private Ryan;Drama,War;1998;Steven Spielberg;5;
Jaws;Adventure,Drama,Thriller;1975;Steven Spielberg;3;
Braveheart;Biography,Drama,History;1995;Mel Gibson;5;
Dances with Wolves;Adventure,Drama,Western;1990;Kevin Costner;7;
Jurassic Park;Adventure,Sci-Fi,Thriller;1993;Steven Spielberg;3;
The Exorcist;Horror;1973;William Friedkin;2;
The Pianist;Biography,Drama,War;2002;Roman Polanski;3;
Bonny and Clyde;Action,Biography,Crime;1967;Arthur Penn;2;
City Lights;Comedy,Drama,Romance;1931;Charles Chaplin;0;
Rain Man;Drama;1988;Barry Levinson;4;
Pulp Fiction;Crime,Drama;1994;Quentin Tarantino;1;
Terms of Endearment;Comedy,Drama;1983;James L. Brooks;5;
Guardians of the Galaxy 2;Action,Adventure,Sci-Fi;2017;James Gunn;0;
Fight Club;Drama;1999;David Fincher;0;
Matrix;Action,Sci-Fi;1999;Lana and Lilly Wachowski;4;
Seven;Crime,Drama,Mistery;1995;David Fincher;0;
La vita � bella;War,Drama;1997;Roberto Benigni;3;
Sen to Chihiro no kamikakushi;Animation,Family;2001;Hayao Miyazaki;1;
American History X;Crime,Drama;1998;Tony Kaye;0;
Inerstellar;Sci-Fi;2014;Christopher Nolan;1;
Intouchables;Comedy,Drama;2011;Olivier Nakache, Eric Toledano;0;
The Departed;Thriller;2006;Martin Scorsese;4;
Memento;Thriller;2000;Christopher Nolan;0;
The Lion King;Animation;1994;Roger Allers, Rob Minkoff;2;
Das Leben der Anderen;Thriller;2006;Florian Henckel von Donnersmarck;1;
Django Unchained;Western;2012;Quentin Tarantino;2;
American Beauty;Romance;1999;Sam Mendes;5;
Snatch;Comedy;2000;Guy Ritchie;0;
Your Name;Animation;2016;Makoto Shinkai;0;
La La Land;Comedy,Music;2016;Damien Chazelle;6;
How to be a latin lover;Comedy;2017;Ken Marino;0;
Dear White People;Comedy;2014;Justin Simien;0;
Sing;Animation,Comedy,Family;2016;Christophe Lourdelet, Garth Jennings;0;
Baywatch;Action,Comedy,Drama;2017;Seth Gordon;0;
Pirates of the Caribbean: Dead Men Tell No Tales;Action;2017;Joachim Rønning,Espen Sandberg;0;
Titanic;Drama,Romance;1997;James Cameron;11;
